"Grupo_PTGAS","Facultad.SIDI","Participacion"
"Funcionario no permanente","F. CIENCIAS POLITICAS Y SOCIOLOGIA","70.00%"
"Funcionario no permanente","F. CIENCIAS QUIMICAS","100.00%"
"Funcionario no permanente","F. COMERCIO Y TURISMO","80.00%"
"Funcionario no permanente","F. DERECHO","66.67%"
"Funcionario no permanente","F. EDUCACION-CENTRO FORMACION PROFESOR","80.00%"
"Funcionario no permanente","F. ENFERMERIA, FISIOTERAPIA Y PODOLOGIA","100.00%"
"Funcionario no permanente","F. ESTUDIOS ESTADISTICOS","75.00%"
"Funcionario no permanente","F. FARMACIA","87.50%"
"Funcionario no permanente","F. FILOLOGIA","69.23%"
"Funcionario no permanente","F. FILOSOFIA","100.00%"
"Funcionario no permanente","F. GEOGRAFIA E HISTORIA","87.50%"
"Funcionario no permanente","F. INFORMATICA","50.00%"
"Funcionario no permanente","F. MEDICINA","90.91%"
"Funcionario no permanente","F. ODONTOLOGIA","100.00%"
"Funcionario no permanente","F. OPTICA Y OPTOMETRIA","66.67%"
"Funcionario no permanente","F. TRABAJO SOCIAL","75.00%"
"Funcionario no permanente","F. VETERINARIA","60.00%"
"Laboral no permanente","F. BELLAS ARTES","62.50%"
"Laboral no permanente","F. CIENCIAS BIOLOGICAS","53.85%"
"Laboral no permanente","F. CIENCIAS DE LA INFORMACION","42.86%"
"Laboral no permanente","F. CIENCIAS ECONOMICAS Y EMPRESARIALES","66.67%"
"Laboral no permanente","F. CIENCIAS FISICAS","33.33%"
"Laboral no permanente","F. CIENCIAS GEOLOGICAS","50.00%"
"Laboral no permanente","F. CIENCIAS MATEMATICAS","66.67%"
"Laboral no permanente","F. CIENCIAS QUIMICAS","50.00%"
"Laboral no permanente","F. COMERCIO Y TURISMO","50.00%"
"Laboral no permanente","F. DERECHO","25.00%"
"Laboral no permanente","F. EDUCACION-CENTRO FORMACION PROFESOR","60.00%"
"Laboral no permanente","F. ENFERMERIA, FISIOTERAPIA Y PODOLOGIA","100.00%"
"Laboral no permanente","F. ESTUDIOS ESTADISTICOS","40.00%"
"Laboral no permanente","F. FARMACIA","80.00%"
"Laboral no permanente","F. FILOLOGIA","50.00%"
"Laboral no permanente","F. GEOGRAFIA E HISTORIA","33.33%"
"Laboral no permanente","F. INFORMATICA","16.67%"
"Laboral no permanente","F. MEDICINA","50.00%"
"Laboral no permanente","F. ODONTOLOGIA","75.00%"
"Laboral no permanente","F. OPTICA Y OPTOMETRIA","75.00%"
"Laboral no permanente","F. PSICOLOGIA","42.86%"
"Laboral no permanente","F. VETERINARIA","36.36%"
"Laboral permanente","F. BELLAS ARTES","37.04%"
"Laboral permanente","F. CIENCIAS BIOLOGICAS","66.67%"
"Laboral permanente","F. CIENCIAS DE LA DOCUMENTACION","37.50%"
"Laboral permanente","F. CIENCIAS DE LA INFORMACION","36.84%"
"Laboral permanente","F. CIENCIAS ECONOMICAS Y EMPRESARIALES","53.33%"
"Laboral permanente","F. CIENCIAS FISICAS","18.18%"
"Laboral permanente","F. CIENCIAS GEOLOGICAS","58.33%"
"Laboral permanente","F. CIENCIAS MATEMATICAS","40.00%"
"Laboral permanente","F. CIENCIAS POLITICAS Y SOCIOLOGIA","30.00%"
"Laboral permanente","F. CIENCIAS QUIMICAS","54.05%"
"Laboral permanente","F. COMERCIO Y TURISMO","77.78%"
"Laboral permanente","F. DERECHO","47.62%"
"Laboral permanente","F. EDUCACION-CENTRO FORMACION PROFESOR","55.00%"
"Laboral permanente","F. ENFERMERIA, FISIOTERAPIA Y PODOLOGIA","66.67%"
"Laboral permanente","F. ESTUDIOS ESTADISTICOS","37.50%"
"Laboral permanente","F. FARMACIA","53.19%"
"Laboral permanente","F. FILOLOGIA","50.00%"
"Laboral permanente","F. GEOGRAFIA E HISTORIA","33.33%"
"Laboral permanente","F. INFORMATICA","27.78%"
"Laboral permanente","F. MEDICINA","68.00%"
"Laboral permanente","F. ODONTOLOGIA","70.37%"
"Laboral permanente","F. OPTICA Y OPTOMETRIA","50.00%"
"Laboral permanente","F. PSICOLOGIA","47.62%"
"Laboral permanente","F. TRABAJO SOCIAL","37.50%"
"Laboral permanente","F. VETERINARIA","36.96%"
